table_name_zh,table_name_en,序号,列名,中文名称,类型,空否,备注,说明解释,业务唯一性,表数据更新频率
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,6,BidPriceSpot,现汇买入价(人民币元/100外币),"decimal(18,6)",,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,7,BidPriceCurrency,现钞买入价(人民币元/100外币),"decimal(18,6)",,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,8,AskedPriceSpot,卖出价(人民币元/100外币),"decimal(18,6)",,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,9,BenchMarkPrice,基准价(人民币元/100外币),"decimal(18,6)",,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,10,BOCConversionRate,中行折算价,"decimal(18,6)",,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,11,Remark,备注说明,varchar(500),,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,12,UpdateTime,更新时间,datetime,否,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,13,JSID,JSID,bigint,否,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇实时牌价,ED_BOCExchangeQuoteRT,最后修改日期: 2017-04-19,,,,,,"1.收录中国银行发布的外汇实时价格，包括现汇买入价、现钞买入价、卖出价、基准价、中间折算价
2.数据范围：2009年6月-至今
3.数据源：中国银行","EndDate,InfoPublTime,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,1,ID,ID,bigint,否,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,2,EndDate,截止日期,datetime,否,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,3,InfoSource,信息来源,varchar(50),,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,4,StatPeriodCode,数据统计期间代码,int,,数据统计期间代码(StatPeriodCode)与(CT_SystemConst)表中的DM字段关联，令LB = 1074 AND DM IN (3)，得到数据统计期间代码的具体描述：3-期末累计。,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,5,CurrencyCode,货币代码,int,,货币代码(CurrencyCode)与(CT_SystemConst)表中的DM字段关联，令LB = 1068，得到货币代码的具体描述：1000-美元，1100-港元，1110-印度卢比，1120-印度尼西亚卢比，1130-伊朗里亚尔，1140-波兰兹罗提，1150-匈牙利福林，1160-日本元，1161-欧洲日元(离岸)，1170-约旦第纳尔，1180-科...,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,6,BidPriceSpot,现汇买入价(人民币元/100外币),"decimal(19,4)",,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,7,BidPriceCurrency,现钞买入价(人民币元/100外币),"decimal(19,4)",,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,8,AskedPriceSpot,卖出价(人民币元/100外币),"decimal(19,4)",,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,9,BenchMarkPrice,基准价(人民币元/100外币),"decimal(19,4)",,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,10,XGRQ,更新日期,datetime,否,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,11,JSID,JSID,bigint,否,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
中国银行外汇牌价,ED_BOCForexQuote,最后修改日期: 2017-04-19,,,,,,"1.收录中国银行公布的当天首笔外汇价格，包括现汇买入价、现钞买入价、卖出价、基准价等
2.数据范围：1994年8月-至今
3.数据源：中国银行","EndDate,StatPeriodCode,CurrencyCode",日更新
,,,,,,,,,,
,,,,,,,,,,
